Nominal Voltage(In Volts),Battery Current(in Amps),Extra Load(In Kgs),Electric vehicle(model),C-rating,No: of Charge cycles(weekly),Age of EV battery(in years),Driving Conditions,Type of Charging,Outside Temperature(in °C),Auxiliary Loads(in %),Reduced Range(in Kms),Output(Breakdown occurence)
380,280,211,Jaguar I-pace,2.09,1,1,City,DC Fast Charging,33,14,25,Yes
350,133.497,201,MG ZS,1.05,2,4,Hill Station,DC Fast Charging,25,7,16,No
356,132,210,Hyundai Kona,1.2,1,2,Highway,Level 2,30,7,27,No
360,150,239,Nissan Leaf,1.2,5,5,hill station,level 1,-2,15,22,No
375,276.9,236,Kia Soul,1.3,2,3,City,DC Fast Charging,23,12,16,No
220,99,227,Tata Tigor,1,4,1,Hill station,Level 1,15,9,19,No
50,48.14,215,Mahindra e2o (P2),1.66,4,3,Highway,Level 2,25,11,17,No
375,339,225,Tesla Model S,1.5,3,2,Hill station,Level 1,40,15,18,No
52,30.94,212,Mahindra e20 (P6),1.19,5,1,Hill Station,DC Fast Charging,30,5,22,No
360,187.68,232,Nissan Leaf,1.36,7,3,Hill Road,DC Fast Charging,40,18,28,Yes
380,325,224,Audi e-tron 55,1.3,3,3,Highway,DC Fast Charging,20,18,27,No
381,249.6,210,Nio EC6,1.3,1,4,Highway,Level 2,35,5,27,No
191,113.46,208,MW Motors Luka EV,0.93,3,4,Highway,DC Fast Charging,29,12,15,No
394,101.64,238,MG ZS,0.9,3,1,Highway,DC Fast Charging,40,12,30,No
435,153.09,234,Nio ES8,0.81,4,1,Highway,Level 2,28,6,17,No
54,21.06,239,Mahindra e20 (P4),0.81,5,4,Hill Road,DC Fast Charging,37,15,34,Yes
397,89.24,230,Volkwagen e-Golf,0.97,3,3,City,DC Fast Charging,27,12,25,No
375,253.47,230,Kia Soul,1.19,2,2,Highway,Level 2,20,5,22,No
306,154.56,228,Volkwagen e-Golf,1.68,3,3,Hill Station,Level 1,-2,7,27,No
53,31.61,232,Mahindra e2o (P2),1.09,3,1,Hill Station,DC Fast Charging,33,10,23,No
350,104.2548,222,MG ZS,0.82,1,3,Hill Station,DC Fast Charging,34,16,24,No
